"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"32002L0086","2002-11-06","2002-11-27","2014-12-12","1a439c9d-082d-44b0-a5dd-b5944634b034","32000L0013","A06P6L2TIRE1","false",NA
"31987L0317","1987-06-16",NA,"1991-05-18","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false","1987-11-30"
"31999L0030","1999-04-22","1999-07-19","2010-06-10","4e029949-9fc3-4c87-bf77-a2bc885a983f","11992E130S","P1","false","2001-07-19"
"32000L0079","2000-11-27","2000-12-01","9999-12-31","6d1d4a3f-88ca-4407-ae91-93bec504c51c","11997E139","P2","true","2003-12-01"
"32000L0069","2000-11-16","2000-12-13","2010-06-10","ceb354da-9178-495e-a153-a82016b7d5ef","11997E175","P1","false","2002-12-13"
"32009L0012","2009-03-11","2009-03-15","9999-12-31","f478817f-b975-4585-b4cb-d6a377c2ea12","12006E080","P2","true","2011-03-15"
"31990L0618","1990-11-08","1990-11-20","2012-11-01","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-05-20"
"31992L0016","1992-03-16","1992-03-26","2000-06-14","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-12-31"
"31989L0106","1988-12-21","1988-12-27","2013-06-30","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1991-06-27"
"31990L0604","1990-11-08","1990-11-19","2013-07-18","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-01-01"
"31997L0013","1997-04-10","1997-05-27","2003-07-24","1c1b5920-90b7-413a-b9f2-4ad20efc6d18","11992E057","P2","false","1997-12-31"
"32008L0001","2008-01-15","2008-02-18","2014-01-06","1923204d-4c33-4a1d-b0f3-3d5e8a226f7f","12006E175","P1","false","1999-10-30"
"32011L0084","2011-09-20","2011-11-18","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","2012-10-30"
"31992L0048","1992-06-16","1992-07-07","2005-12-31","a84d9cf7-73eb-4c30-bf98-130bac61546f","31991L0493","A03P1PTAI)","false","1992-12-31"
"32010L0031","2010-05-19","2010-07-08","2026-05-29","6bd3da69-f0d0-4c84-b6cf-b1bcf75418a2","12010E194","P2","true","2012-07-09"
"32003L0009","2003-01-27","2003-02-06","2015-07-20","c5e22073-d70c-487a-bf77-72e7a62e50d7","11997E063","L1PT1B)","false","2005-02-06"
"32006L0032","2006-04-05","2006-05-17","2014-06-04","c13c4f2b-e76e-4c1d-a30c-2d6f263178ba","12002E175","P1","false","2008-05-17"
"32014L0040","2014-04-03","2014-05-19","9999-12-31","2e266717-7e4e-4a00-b7d1-fcdc1ac89cf5","12012E053","P1","true","2016-05-20"
"31999L0032","1999-04-26","1999-05-11","2016-06-09","4e029949-9fc3-4c87-bf77-a2bc885a983f","11992E130S","P1","false","2000-07-01"
"31988L0295","1988-03-22","1988-05-10","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1989-01-01"
"31992L0059","1992-06-29","1992-07-08","2004-01-14","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1994-06-29"
"31989L0665","1989-12-21","1990-01-03","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1991-12-21"
"31989L0398","1989-05-03","1989-05-16","2009-06-08","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1990-05-16"
"31991L0308","1991-06-10","1991-06-13","2005-12-14","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-01-01"
"31998L0030","1998-06-22","1998-08-10","2004-06-30","1c1b5920-90b7-413a-b9f2-4ad20efc6d18","11992E057","P2","false","2000-08-10"
"32012L0027","2012-10-25","2012-12-04","2025-10-11","6bd3da69-f0d0-4c84-b6cf-b1bcf75418a2","12010E194","P2","true","2014-06-05"
"32006L0123","2006-12-12","2006-12-28","9999-12-31","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2FR3","true","2009-12-28"
"32006L0048","2006-06-14","2006-07-20","2013-12-31","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2FR3","false","2006-12-31"
"32012L0026","2012-10-25","2012-11-16","9999-12-31","a3234a1a-4a79-46f2-9020-045559fdf76c","12010E168","P4PTC)","true","2013-10-28"
"32011L0036","2011-04-05","2011-04-15","9999-12-31","851d01f1-e6c3-4981-ad74-34ff43373578","12010E083","P1","true","2013-04-06"
"32009L0072","2009-07-13","2009-09-03","2020-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2","false","2011-03-03"
"32009L0065","2009-07-13","2009-12-07","9999-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2","true","2011-06-30"
"32006L0058","2006-06-27","2006-06-28","2006-12-31","0d928710-7acc-4759-8b43-936ad2bec011","32002L0038","A05","false","2006-07-01"
"32011L0099","2011-12-13","2012-01-10","9999-12-31","7c9ce5eb-c9d2-4767-836b-103acd5ee53b","12010E082","P1PTA)","true","2015-01-11"
"31991L0157","1991-03-18","1991-03-25","2008-09-25","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-09-17"
"32006L0102","2006-11-20","2007-01-01","2015-05-31","be2a7a0c-50e7-4d8a-a4f6-7f25e5e7ee49","12005S/TTE/04","P3","false","2007-01-01"
"32010L0076","2010-11-24","2010-12-15","2013-12-31","529f345d-dfc8-4ccd-9323-3aef5bbc5e02","12010E053","P1","false","2011-01-01"
"32014L0062","2014-05-15","2014-05-22","9999-12-31","84ef3bb0-4b70-44ef-a4b5-feecd2457962","12012E083","P1","true","2016-05-23"
"32009L0043","2009-05-06","2009-06-30","9999-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"true","2011-06-30"
"32009L0003","2009-03-11","2009-05-27","9999-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"true","2009-12-31"
"32007L0066","2007-12-11","2008-01-09","9999-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"true","2009-12-20"
"31987L0216","1987-03-19","1987-03-24","1999-02-03","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1988-09-24"
"31987L0403","1987-06-25","1987-06-26","1992-07-01","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1988-10-01"
"31990L0435","1990-07-23","1990-07-30","2012-01-17","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1992-01-01"
"31984L0525","1984-09-17","1984-09-26","2011-06-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-03-26"
"31984L0526","1984-09-17","1984-09-26","2011-06-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-03-26"
"32006L0040","2006-05-17","2006-07-04","2009-04-28","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","2008-01-03"
"32006L0001","2006-01-18","2006-02-24","9999-12-31","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"true","1986-06-30"
"31999L0036","1999-04-29","1999-06-01","2011-06-30","b86a5126-9bcd-4a14-982a-e82c9d09bf0e","11992E189C",NA,"false","2000-07-01"
"31994L0012","1994-03-23","1994-05-09","2013-01-01","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1994-06-30"
"31996L0058","1996-09-03","1996-10-08","2018-04-20","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1996-12-31"
"31991L0493","1991-07-22","1991-07-31","2005-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1993-01-01"
"31992L0060","1992-06-30","1992-07-20","2019-12-13","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1992-07-01"
"31968L0193","1968-04-09","1968-04-11","9999-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"true","1969-07-01"
"31990L0426","1990-06-26","1990-07-04","2010-08-11","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1992-01-01"
"32008L0090","2008-09-29","2008-10-28","9999-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"true","2010-03-31"
"32014L0054","2014-04-16","2014-05-20","9999-12-31","6b390c35-d623-4785-86a0-1fb492a32cab","12012E294",NA,"true","2016-05-21"
"32007L0043","2007-06-28","2007-08-01","9999-12-31","446b2d8f-4f90-4c19-94c3-e8f0947a2593","12006E037",NA,"true","2010-06-30"
"32000L0007","2000-03-20","2000-05-03","2015-12-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false","2000-12-31"
"31991L0271","1991-05-21","1991-05-29","2027-07-31","034b6ee8-9829-49b1-81bc-52f0c8b6dea7","11957E130S",NA,"true","1993-06-30"
"31996L0051","1996-07-23","1996-10-07","2004-10-17","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"false","1998-04-01"
"31998L0058","1998-07-20","1998-08-08","9999-12-31","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"true","1999-12-31"
"31994L0028","1994-06-23","1994-07-12","2018-10-31","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"false","1995-07-01"
"32010L0073","2010-11-24","2010-12-31","2019-07-20","94bc087a-00f3-4733-bc23-0b3e1f99704e","12010E114",NA,"true","2012-07-01"
"32011L0088","2011-11-16","2011-12-13","2016-12-31","94bc087a-00f3-4733-bc23-0b3e1f99704e","12010E114",NA,"false","2012-11-24"
"32009L0066","2009-07-13","2009-08-21","2015-12-31","391c41d5-94d8-4fa4-8986-578eafd01513","12006E095",NA,"false","1976-11-22"
"31991L0680","1991-12-16","1991-12-23","2006-12-31","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"true","1993-01-01"
"32006L0112","2006-11-28","2007-01-01","9999-12-31","0a070903-f5c5-41b9-93bf-ac0a0f525282","12002E093",NA,"true","2008-01-01"
"32004L0086","2004-07-05","2004-07-27","2015-12-31","f8831915-45c5-467e-b32e-779d29e4ba57","32002L0024","A17","false","2004-12-31"
"31998L0054","1998-07-16","1998-08-13","2009-08-25","56fe7d25-5f54-48a1-95e2-6008425b8a4d","31970L0373","A02","false","1999-02-13"
"32004L0073","2004-04-29","2004-05-20","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A28","false","2005-10-31"
"31998L0098","1998-12-15","1999-01-02","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A28","false","2000-07-01"
"31992L0037","1992-04-30","1992-06-05","2015-05-31","8e12a450-cb71-4356-bd3b-8a9f980208a0","31967L0548","A19","false","1993-11-01"
"31995L0030","1995-06-30","1995-07-26","2000-11-05","3c966801-b944-46d2-9034-b8c9e37b86c3","31989L0391","A17","false","1996-11-30"
"32007L0062","2007-10-04","2007-10-25","2008-08-31","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A04P1PTF)","false","2008-04-05"
"32000L0068","2000-10-23","2001-08-01","2000-12-28","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A08P2L4","false","2002-01-31"
"31981L0333","1981-04-13","1981-04-28","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13","false","1981-09-30"
"31997L0049","1997-07-29","1997-09-02","2010-02-14","60cd834c-a905-4bf6-aed7-cf5023a71e46","31979L0409","A15","false","1998-09-30"
"32011L0090","2011-11-14","2011-12-05","2026-11-19","e4945793-f1f9-4527-8a2e-9060378fc302","32008L0048","A19P5","true","2012-12-31"
"32014L0082","2014-06-24","2014-07-15","9999-12-31","40923248-5509-41b9-9c89-4b6fdeb2ba80","32007L0059","A31","true","2015-07-01"
"32004L0103","2004-10-07","2004-11-01","2020-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A13QUATERP4L5","false","2004-12-31"
"32005L0077","2005-11-11","2005-12-02","2022-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A14P2PTD)","false","2006-04-30"
"32009L0007","2009-02-10","2009-03-03","2019-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A14L2PTC)","false","2009-03-31"
"32011L0080","2011-09-20","2011-10-11","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2012-09-30"
"31980L1263","1980-12-04","1980-12-10","1996-06-30","100e56a9-af68-4606-b14f-1a18f03bb3c2","11957E075","P1PTC","false","1983-01-01"
"31983L0496","1983-09-22","1983-09-27","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1984-12-31"
"31992L0086","1992-10-21","1992-11-03","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1993-06-30"
"31980L0390","1980-03-17","1980-03-19","2001-07-25","aa9dd2d0-11e0-40df-8e04-b38cb2200e9c","11957E054","P3G","false","1983-06-30"
"31973L0239","1973-07-24","1973-07-27","2015-12-31","dc576cb4-5040-42c2-837e-c6f19c43d6c4","11957E057","P2","false","1975-01-27"
"32008L0005","2008-01-30","2008-02-20","2014-12-12","1a439c9d-082d-44b0-a5dd-b5944634b034","32000L0013","A04P2","false","1995-06-30"
"31996L0005","1996-02-16","1996-03-19","2006-12-25","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04","false","1997-09-30"
"32010L0043","2010-07-01","2010-07-30","9999-12-31","0baaf4bd-450e-4b61-8bfd-6d7bad1f97cf","32009L0065","A51P4","true","2011-06-30"
"32004L0055","2004-04-20","2004-05-11","9999-12-31","8124de30-ce08-4cbe-9814-d4e602698b57","31966L0401","A21PTA)","true","2004-09-30"
"32014L0103","2014-11-21","2014-12-12","9999-12-31","c92b5ba4-8647-4bb4-8924-e7bbd440f1fc","32008L0068","A08P1","true","2015-06-30"
"31999L0048","1999-05-21","1999-07-06","2001-02-20","6867429a-f2b8-472f-b29e-4cf3fce5819a","31996L0049","A08","false","1999-06-30"
"31991L0662","1991-12-06","1991-12-31","2014-10-31","475d1c17-fba1-4070-9b28-742550457815","31974L0297","A05","true","1992-10-01"
"31992L0062","1992-07-02","1992-07-18","2014-10-31","ed3e04b1-2057-4cfc-a889-2d50cc8273d5","31970L0311","A03","true","1992-12-31"
"32005L0031","2005-04-29","2005-05-20","9999-12-31","08a6f2ca-ddae-4630-801b-debd699a5af2","32004R1935","A05P2","true","2006-05-20"
"31998L0042","1998-06-19","1998-07-04","2010-12-31","dec5a6d8-2df7-46fa-914c-9cfe5f3f1a61","31995L0021","A19","false","1998-09-30"
"32014L0008","2013-10-18","2014-01-29","9999-12-31","6be9a15c-0644-4f7d-9911-462a649b5c0c","32011L0065","A05P1PTA)","true","2014-07-31"
"32007L0004","2007-02-02","2007-02-23","2012-05-07","7126d6ee-6faf-4b54-9ecb-c53c6dbd0e4e","31996L0073","A05P2","false","2008-02-02"
"31976L0462","1976-05-04","1976-05-05","1995-03-25","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1979-01-01"
"31980L0767","1980-07-22","1980-07-24","9999-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"true","1981-01-01"
"31979L0117","1978-12-21","1978-12-22","2011-06-13","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1981-01-01"
"31966L0401","1966-06-14","1966-06-15","9999-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"true","1968-07-01"
"31979L0622","1979-06-25","1979-06-27","2009-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1980-12-27"
"32008L0127","2008-12-19","2009-09-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414",NA,"false","2010-02-28"
"31989L0514","1989-08-02","1989-08-03","2002-01-03","63961733-492c-4518-a9f2-0253ead1a5c7","11957E",NA,"false","1990-01-01"
"31985L0572","1985-12-19","1985-12-24","9999-12-31","b9fe6cc7-e2f9-4038-b3d9-96db8d423710","31982L0711","A02P3","true",NA
"32002L0013","2002-03-05","2002-03-20","2015-12-31","9f23e4cd-4b31-4cdf-a6b6-a88bd4bb3b22","11997E047","P2","false",NA
"32008L0034","2008-03-11","2008-03-21","2014-02-14","1923204d-4c33-4a1d-b0f3-3d5e8a226f7f","12006E175","P1","false",NA
"31985L0444","1985-09-27","1985-10-01","1989-10-01","a9c8c6a4-94ec-44b2-b11d-39a25dd3d8eb","31983L0129","A02","false",NA
"32003L0088","2003-11-04","2004-08-02","9999-12-31","a7b5cf5a-9b4b-4454-b7b2-28669f5efad8","12002E137","P2","true",NA
"32001L0017","2001-03-19","2001-04-20","2015-12-31","9f23e4cd-4b31-4cdf-a6b6-a88bd4bb3b22","11997E047","P2","false",NA
"32008L0121","2009-01-14","2009-02-12","2012-05-07","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"false",NA
"31986L0214","1986-05-26","1986-06-04","2011-06-13","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"32006L0012","2006-04-05","2006-05-17","2010-12-11","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false",NA
"32000L0013","2000-03-20","2000-05-26","2014-12-12","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false",NA
"32002L0046","2002-06-10","2002-07-12","9999-12-31","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"true",NA
"32001L0111","2001-12-20","2002-01-12","9999-12-31","68248bf6-f090-48f0-a610-89eead354ad8","11997E037",NA,"true",NA
"31986L0084","1986-02-25","1986-03-01","2002-01-15","fb5c1ee8-86ec-455d-8822-3eeb0338953b","11985I396",NA,"false",NA
"32001L0016","2001-03-19","2001-04-20","2010-07-18","dd95f8ea-7936-47b7-a0aa-bbb5d797f5a3","11997E156",NA,"false",NA
"32002L0062","2002-07-09","2002-08-01","2009-05-31","70b23758-ad3c-4dfc-9085-8b209fdfa6e8","31976L0769","A02BIS","false",NA
"31980L0618","1980-06-26","1980-06-26","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A16BISP4","false",NA
"31983L0129","1983-03-28","1983-03-31","9999-12-31","974eded0-d2d9-4941-8471-f3333ba93c66","11957E235",NA,"true",NA
"31978L0170","1978-02-13","1978-02-14","2005-08-10","67d0c43a-0896-4e46-a21f-891cd3f234bb","11957E103",NA,"false",NA
"32009L0015","2009-04-23","2009-06-17","9999-12-31","f478817f-b975-4585-b4cb-d6a377c2ea12","12006E080","P02","true","2011-06-17"
"31990L0270","1990-05-29","1990-06-11","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1992-12-31"
"31989L0655","1989-11-30","1989-12-12","2009-10-22","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-12-31"
"31988L0627","1988-12-12","1988-12-23","2001-07-25","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1991-01-01"
"31989L0656","1989-11-30","1989-12-12","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1992-12-31"
"31990L0394","1990-06-28","1990-07-06","2004-05-19","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1992-12-31"
"31990L0269","1990-05-29","1990-06-12","9999-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","true","1992-12-31"
"31989L0284","1989-04-13","1989-04-17","2003-12-10","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1989-04-16"
"31991L0156","1991-03-18","1991-03-25","2006-05-16","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1993-04-01"
"31988L0298","1988-05-16","1988-05-20","2008-08-31","0d3c9a90-3a82-40e4-aed6-550eb81858f2","31976L0895","A05","false","1989-01-01"
"31993L0058","1993-06-29","1993-07-12","2008-08-31","0d3c9a90-3a82-40e4-aed6-550eb81858f2","31976L0895","A05","false","1993-12-31"
"31994L0030","1994-06-23","1994-07-23","2008-08-31","5a335ff4-a06e-4ea4-b662-426472d0d88d","31990L0642","A01","false","1995-06-30"
"31987L0344","1987-06-22","1987-06-25","2015-12-31","dc576cb4-5040-42c2-837e-c6f19c43d6c4","11957E057","P2","false","1990-01-01"
"32006L0099","2006-11-20","2007-01-01","2013-07-18","be2a7a0c-50e7-4d8a-a4f6-7f25e5e7ee49","12005S/TTE/04","P3","false","2007-01-01"
"32003L0033","2003-05-26","2003-06-20","9999-12-31","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2","true","2005-07-31"
"32005L0075","2005-11-16","2005-12-09","2016-04-18","3f5c3895-3383-4adb-ba70-a220c9b90a90","12002E047","P2","false","2006-01-31"
"31996L0021","1996-03-29","1996-04-25","2008-02-19","5f92669b-bc83-47e5-9c5c-fc019e6586bb","31994L0035","A06","false","1996-06-30"
"32008L0096","2008-11-19","2008-12-19","9999-12-31","3c2396f8-4e08-490e-bd76-848b1beb2b6a","12006E071","P1","true","2010-12-19"
"32012L0019","2012-07-04","2012-08-13","9999-12-31","cdb7c074-fac1-42bf-b529-6a1b8e30d5b6","12010E192","P1","true","2014-02-14"
"32006L0021","2006-03-15","2006-05-01","9999-12-31","c13c4f2b-e76e-4c1d-a30c-2d6f263178ba","12002E175","P1","true","2008-05-01"
"32013L0058","2013-12-11","2013-12-19","9999-12-31","2e266717-7e4e-4a00-b7d1-fcdc1ac89cf5","12012E053","P1","true","2015-03-31"
"32013L0014","2013-05-21","2013-06-20","9999-12-31","2e266717-7e4e-4a00-b7d1-fcdc1ac89cf5","12012E053","P1","true","2014-12-21"
"32008L0104","2008-11-19","2008-12-05","9999-12-31","7844a889-bcf3-48e7-bc97-e52364c493cf","12006E137","P2","true","2011-12-05"
"32008L0006","2008-02-20","2008-02-27","9999-12-31","74f202d1-b0ef-4eec-9e01-631eacaa5e60","12006E047","P2","true","2010-12-31"
"32012L0013","2012-05-22","2012-06-21","9999-12-31","7c9ce5eb-c9d2-4767-836b-103acd5ee53b","12010E082","P2","true","2014-06-02"
"31987L0486","1987-09-22","1987-10-30","1991-12-19","abba00e0-5952-4a53-9b80-229e93618b85","31987D0230","A02","false","1987-12-31"
"32008L0068","2008-09-24","2008-10-20","9999-12-31","171e521a-3ffe-46ac-90eb-ed97dbb7dcd2","12006E251",NA,"true","2009-06-30"
"31984L0527","1984-09-17","1984-09-26","2011-06-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-03-26"
"31984L0587","1984-11-29","1984-12-03","2004-10-17","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1986-12-03"
"31991L0533","1991-10-14","1991-10-28","2022-07-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1993-06-30"
"32005L0089","2006-01-18","2006-02-24","2019-07-03","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false","2008-02-24"
"32003L0036","2003-05-26","2003-06-25","2009-05-31","6605ff4a-754d-4d10-bc74-9499a44ae68d","12002E251",NA,"false","2004-06-25"
"31997L0023","1997-05-29","1997-07-29","2016-07-18","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1999-05-28"
"31996L0084","1996-12-19","1997-03-11","2009-06-08","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"false","1997-09-30"
"31990L0429","1990-06-26","1990-07-12","2021-04-20","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1991-12-31"
"31990L0428","1990-06-26","1990-07-17","9999-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"true","1991-07-01"
"31989L0439","1989-06-26","1989-07-10","2000-07-29","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"false","1990-01-01"
"32014L0047","2014-04-03","2014-05-19","9999-12-31","6b390c35-d623-4785-86a0-1fb492a32cab","12012E294",NA,"true","2017-05-20"
"31999L0041","1999-06-07","1999-07-08","2009-06-08","77d8f3bb-cfe1-43e0-a854-f8c51b9ccda8","11997E251",NA,"false","2000-07-08"
"32010L0024","2010-03-16","2010-04-20","9999-12-31","f926a060-2ee3-4936-aedb-b207d08cbf81","12008E113",NA,"true","2011-12-31"
"32009L0051","2009-05-25","2009-05-26","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1L2TIRE2","false","2009-06-30"
"32002L0097","2002-12-16","2003-01-07","2008-08-31","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A04P1PTF)","false","2003-06-30"
"32006L0136","2006-12-11","2007-01-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","false","2007-06-30"
"32002L0100","2002-12-20","2003-01-27","2008-08-31","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A04P1PTF)","false","2003-03-31"
"32000L0010","2000-03-01","2000-12-01","2000-12-28","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","false","2001-06-01"
"31997L0030","1997-06-11","1997-07-20","2014-10-31","33214808-2cf0-4970-9dec-8f8843c3468d","31970L0156","A13P2","false","1998-01-01"
"32005L0017","2005-03-02","2005-03-23","2021-12-30","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A10P1L2","false","2005-05-14"
"32010L0007","2010-02-09","2010-03-02","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2011-01-31"
"31999L0065","1999-06-24","1999-07-08","2008-08-31","4a976d8b-8f69-4bad-bd11-7c1a6879cc68","31986L0362","A07P4PTA","false","2000-01-01"
"31985L0391","1985-07-16","1985-07-18","2013-07-11","63b42f06-f411-4f26-9e75-e0a2cd5c68bf","31976L0768","A08P2","false","1986-12-31"
"31998L0015","1998-02-27","1998-03-27","2027-07-31","34860b42-95cc-4a57-b998-2e445d5befa9","31991L0271","A05P3","true","1998-09-30"
"32007L0029","2007-05-30","2007-06-20","2015-07-19","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04P1","false","2007-11-30"
"32003L0014","2003-02-10","2003-03-06","2007-01-18","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04P1","false","2004-03-06"
"31999L0021","1999-03-25","1999-04-27","2015-07-19","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04P1","false","2000-04-30"
"31996L0008","1996-02-26","1996-03-26","9999-12-31","9efdc24b-805a-40a7-a2bb-450e836dd006","31989L0398","A04","true","1999-03-31"
"32010L0044","2010-07-01","2010-07-30","9999-12-31","0baaf4bd-450e-4b61-8bfd-6d7bad1f97cf","32009L0065","A60P6PTC)","true","2011-06-30"
"31978L0511","1978-05-24","1978-05-29","2006-06-12","8124de30-ce08-4cbe-9814-d4e602698b57","31966L0401","A11","false","1980-07-01"
"31979L1011","1979-11-15","1979-11-16","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A06","false","1980-01-01"
"31976L0434","1976-04-13","1976-04-13","1994-12-31","be4cf04d-65c1-4bdd-9c6a-4f98956a6049","31973L0361","A04","false","1977-01-13"
"31988L0413","1988-06-22","1988-06-29","2009-12-31","b35f46fc-8809-46e5-a4d0-16ae94c03a01","31974L0150","A11","false","1988-09-30"
