"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31988L0430","1988-07-01","1988-07-04","2000-07-29","614e9335-f623-406c-987c-c5924e385170","31977L0093","A13P2T4","false","1989-01-01"
"32006L0014","2006-02-06","2006-02-10","2022-12-13","97ebdf59-5b83-4403-a0ad-d0d31b1045c0","32000L0029","A14L2PTD)","false","2006-02-28"
"31982L0474","1982-06-23","1982-06-28","1985-07-10","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A06","false","1982-12-01"
"32004L0034","2004-03-23","2004-04-15","2009-02-12","138515a0-ffb7-4e87-8445-9b44dbfe1cb5","31996L0074","A16P1","false","2005-03-01"
"31981L0962","1981-11-24","1981-01-01","1995-03-25","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1982-12-01"
"31980L0392","1980-03-18","1980-03-21","2000-07-29","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1980-05-01"
"31985L0574","1985-12-19","1985-12-24","2000-07-29","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1987-01-01"
"31972L0230","1972-06-12","1972-06-14","2008-11-30","faf8a6bd-ccc2-4924-a532-eac2c9180c7b","31969L0169",NA,"false","1972-07-01"
"31989L0393","1989-06-14","1989-06-20","1995-03-25","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false",NA
"31975L0270","1975-04-28","1975-04-30","1986-07-19","86e63262-05ec-4633-94bd-9226dc1b094a","31975L0268","A02P2","false",NA
"32001L0022","2001-03-08","2001-04-05","2007-05-31","02c67ba9-51c1-45ab-8685-ac85ab96f560","31985L0591","A01","false",NA
"31979L0009","1978-12-19","1978-12-22","9999-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"true",NA
"31983L0651","1983-12-22","1983-12-23","2008-11-30","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false",NA
"31993L0092","1993-10-29","1993-11-23","2009-12-31","d23b6afa-edbb-4228-be51-0abfde1a6b7e","11957E149","P2","false","1995-05-01"
"31994L0011","1994-03-23","1994-05-09","9999-12-31","cc299c53-3d01-42ec-ad9d-05195509c52e","11992E189B",NA,"true","1995-09-23"
