"celex","date_force","force"
"31964D0342","1964-04-01","false"
"31964D0343","1964-04-01","false"
"31964D0344","1964-06-10","true"
"31964D0349","1964-06-01","false"
"31964D0350","1964-06-01","true"
"31964D0351","1964-06-01","false"
"31964D0357","1964-05-08","false"
"31964D0360","1964-06-13","false"
"31964D0389","1964-06-29","false"
"31964D0390","1964-06-29","true"
"31964D0391","1964-07-01","false"
"31964D0404","1964-07-01","false"
"31964D0405","1964-07-02","false"
"31964D0425","1964-07-01","false"
"31964D0437","1964-07-27","false"
"31964D0441","1964-07-01","false"
"31964D0442","1964-07-01","false"
"31964D0444","1964-07-01","false"
"31964D0445","1964-07-01","false"
"31964D0449","1964-07-14","false"
"31964D0451","1964-08-01","false"
"31964D0473","1964-08-06","false"
"31964D0487","1964-08-01","false"
"31964D0489","1964-08-15","false"
"31964D0500","1964-08-15","false"
"31964D0501","1964-08-15","false"
"31964D0502","1964-08-26","true"
"31964D0503","1964-11-01","false"
"31964D0504","1964-08-15","false"
"31964D0528","1964-08-15","false"
"31964D0566","1964-10-20","true"
"31964D0599","1964-10-31","true"
"31964D0600","1964-11-01","false"
"31964D0604","1964-01-01","false"
"31964D0652","1965-01-01","false"
"31964D0653","1965-01-01","false"
"31964D0654","1965-01-01","false"
"31964D0655","1965-01-01","false"
"31964D0656","1964-11-01","false"
"31964D0678","1964-11-20","false"
"31964D0683","1964-01-01","false"
"31964D0689","1964-10-11","false"
"31964D0692","1964-10-10","false"
"31964D0694","1964-12-02","false"
"31964D0697","1965-01-01","false"
"31964D0698","1965-01-01","false"
"31964D0699","1965-01-01","false"
"31964D0700","1965-01-01","false"
"31964D0701","1965-01-01","false"
"31964D0702","1965-01-01","false"
"31964D0703","1965-01-01","false"
"31964D0704","1965-01-01","false"
"31964D0705","1965-01-01","false"
"31964D0706","1965-01-01","false"
"31964D0707","1965-01-01","false"
"31964D0708","1965-01-01","false"
"31964D0709","1965-01-01","false"
"31964D0717","1964-12-15","false"
"31964D0718","1965-01-01","false"
"31964D0728","1964-12-12","false"
"31964D0732","1964-10-28","true"
"31964D0744","1965-01-01","false"
"31964D0745","1965-01-01","false"
"31964L0054","1963-11-06","false"
"31964L0220","1964-02-26","false"
"31964L0221","1964-03-19","false"
"31964L0222","1964-02-26","false"
"31964L0223","1964-02-26","false"
"31964L0224","1964-08-26","false"
"31964L0225","1964-02-26","false"
"31964L0240","1964-04-06","false"
"31964L0427","1964-07-09","false"
"31964L0428","1964-07-08","false"
"31964L0429","1964-07-09","false"
"31964L0432","1964-06-30","false"
"31964L0433","1964-06-30","false"
"31964L0475","1964-07-31","true"
"31964L0486","1964-07-30","false"
"31964L0620","1964-10-14","false"
"31964Q0127","1964-03-18","false"
"31964Q0356","1964-06-01","true"
"31964R0001","1964-02-01","false"
"31964R0002","1964-02-01","false"
"31964R0003","1964-02-01","false"
"31964R0004","1964-08-01","false"
"31964R0005","1964-11-01","true"
"31964R0006","1964-01-01","false"
"31964R0007","1964-02-01","false"
"31964R0007(01)","1962-01-10","false"
"31964R0008","1965-01-17","false"
"31964R0009","1964-01-01","false"
"31964R0010","1962-01-10","false"
"31964R0011","1965-01-17","false"
"31964R0012","1964-02-23","false"
"31964R0013","1964-02-28","false"
"31964R0014","1964-02-28","false"
"31964R0016","1964-02-28","false"
"31964R0017","1964-03-18","false"
"31964R0018","1964-03-18","false"
"31964R0019","1964-07-01","false"
"31964R0023","1964-03-11","false"
"31964R0024","1964-04-01","false"
"31964R0025","1964-03-19","false"
"31964R0026","1964-04-08","false"
"31964R0033","1964-04-17","false"
"31964R0034","1964-04-01","false"
"31964R0038","1964-05-01","false"
"31964R0045","1964-05-26","false"
"31964R0046","1964-05-29","false"
"31964R0047","1964-05-29","false"
"31964R0048","1964-05-10","false"
"31964R0049","1964-05-29","false"
"31964R0050","1964-05-29","false"
"31964R0051","1964-05-29","false"
"31964R0052","1964-05-29","false"
"31964R0057","1964-01-01","false"
"31964R0058","1964-01-01","false"
"31964R0059","1964-06-11","true"
"31964R0060","1964-06-11","false"
"31964R0061","1964-06-11","false"
"31964R0062","1964-06-30","false"
"31964R0075","1964-07-01","false"
"31964R0076","1964-07-01","false"
"31964R0077","1964-07-01","false"
"31964R0078","1964-07-20","false"
"31964R0079","1964-07-01","false"
"31964R0082","1964-07-01","false"
"31964R0086","1964-08-10","false"
"31964R0087","1964-08-01","false"
"31964R0092","1964-07-28","false"
"31964R0098","1962-08-06","false"
"31964R0099","1964-08-25","false"
"31964R0107","1964-08-27","false"
"31964R0108","1964-09-01","false"
"31964R0110","1964-09-01","false"
"31964R0111","1964-09-01","false"
"31964R0112","1964-09-01","false"
"31964R0113","1964-09-01","false"
"31964R0114","1964-09-01","false"
"31964R0115","1964-07-01","false"
"31964R0121","1964-11-01","false"
