"celex","date"
"32000R0551","2000-03-14"
"31975R1673","1975-06-30"
"32001R0368","2001-02-23"
"31997R1826","1997-09-22"
"31999R0746","1999-04-09"
"32016R2066","2016-11-21"
"31988R0509","1988-02-26"
"31982R2631","1982-10-01"
"31983R0104","1983-01-19"
"32001R0922","2001-05-10"
"31971R2888","1971-12-30"
"32012R1084","2012-11-19"
"32000R0792","2000-04-14"
"31988R3314","1988-10-27"
"31969R1393","1969-07-17"
"31973R1765","1973-06-29"
"31987R3312","1987-11-05"
"31991R3029","1991-10-17"
"31974R2973","1974-11-26"
"31992R1160","1992-05-07"
"31982R3366","1982-12-16"
"31982R0296","1982-02-05"
"32002R1417","2002-08-01"
"31992R2418","1992-08-20"
"32005R1218","2005-07-28"
"31990R3462","1990-12-01"
"32004R1804","2004-10-14"
"31989R3467","1989-11-21"
"31990R1379","1990-05-22"
"32003R0057","2003-01-14"
"31992R0256","1992-02-04"
"31993R2339","1993-08-24"
"31987R2878","1987-09-26"
"31988R1886","1988-07-01"
"31982R0196","1982-01-29"
"31971R0042","1971-01-12"
"32004R1149","2004-06-22"
"31978R1399","1978-06-20"
"31969R2488","1969-12-09"
"31985R0784","1985-03-27"
"31999R0560","1999-03-15"
"31991R0433","1991-02-26"
"31994R1476","1994-06-27"
"31964R0159","1964-10-30"
"31991R1094","1991-05-01"
"32005R1119","2005-07-14"
"31975R1740","1975-07-07"
"31977R1255","1977-06-10"
"31988R1217","1988-05-05"
"31972R0519","1972-03-15"
"31975R3024","1975-11-20"
"32009R0846","2009-09-01"
"31991R3278","1991-11-08"
"32005R1250","2005-07-29"
"31997R2567","1997-12-18"
"32003R2133","2003-12-04"
"31988R1590","1988-06-07"
"31985R0172","1985-01-24"
"31988R0572","1988-03-02"
"31995R0959","1995-04-28"
"31991R2734","1991-09-18"
"31996R1851","1996-09-25"
"31989R2050","1989-07-11"
"31970R2649","1970-12-30"
"32003R1367","2003-07-31"
"31982R1831","1982-07-05"
"32008R0819","2008-08-18"
"31996R1383","1996-07-17"
"31990R2974","1990-10-16"
"31969R1087","1969-06-11"
"31973R2644","1973-09-29"
"32007R1121","2007-09-27"
"31991R0247","1991-02-01"
"32005R1759","2005-10-27"
"31996R1248","1996-06-28"
"31985R2349","1985-08-17"
"32002R1755","2002-10-01"
"31975R1158","1975-04-29"
"31985R2028","1985-07-24"
"31997R0426","1997-03-05"
"32003R1005","2003-06-12"
"32008R1197","2008-12-01"
"31994R0749","1994-03-31"
"31972R0556","1972-03-17"
